# bench_symmetry_gpu_matvec snapshot, May 28 2026
# Reproduce with:
#   cmake --build build --target bench_symmetry_gpu_matvec -j 8
#   ./build/bench_symmetry_gpu_matvec --N 12 --reps 50                       # V1
#   ED_GPU_SYMMETRY_MIRROR_V2=1 ./build/bench_symmetry_gpu_matvec --N 12 --reps 50  # V2
# N	sector	dim	backend	v2	reps	ms_per_matvec
12	0	352	cpu	0	50	10.794455
12	0	352	gpu	0	50	0.235910
12	1	335	cpu	0	50	10.773153
12	1	335	gpu	0	50	0.235574
12	2	344	cpu	0	50	10.367883
12	2	344	gpu	0	50	0.236101
12	3	338	cpu	0	50	10.426104
12	3	338	gpu	0	50	0.236026
12	4	346	cpu	0	50	10.606881
12	4	346	gpu	0	50	0.233120
12	5	335	cpu	0	50	10.272409
12	5	335	gpu	0	50	0.231582
12	6	348	cpu	0	50	10.373215
12	6	348	gpu	0	50	0.237463
12	7	335	cpu	0	50	10.279782
12	7	335	gpu	0	50	0.236458
12	8	346	cpu	0	50	10.491736
12	8	346	gpu	0	50	0.236268
12	9	338	cpu	0	50	10.883039
12	9	338	gpu	0	50	0.236601
12	10	344	cpu	0	50	10.721772
12	10	344	gpu	0	50	0.232613
12	11	335	cpu	0	50	10.389793
12	11	335	gpu	0	50	0.231904
12	0	352	cpu	1	50	10.490381
12	0	352	gpu	1	50	0.184313
12	1	335	cpu	1	50	10.350606
12	1	335	gpu	1	50	0.181947
12	2	344	cpu	1	50	10.598088
12	2	344	gpu	1	50	0.186656
12	3	338	cpu	1	50	10.435996
12	3	338	gpu	1	50	0.183060
12	4	346	cpu	1	50	10.354690
12	4	346	gpu	1	50	0.186098
12	5	335	cpu	1	50	10.598674
12	5	335	gpu	1	50	0.182135
12	6	348	cpu	1	50	10.853467
12	6	348	gpu	1	50	0.181592
12	7	335	cpu	1	50	10.556837
12	7	335	gpu	1	50	0.182023
12	8	346	cpu	1	50	11.182786
12	8	346	gpu	1	50	0.181981
12	9	338	cpu	1	50	10.621131
12	9	338	gpu	1	50	0.179422
12	10	344	cpu	1	50	10.713201
12	10	344	gpu	1	50	0.182589
12	11	335	cpu	1	50	10.430937
12	11	335	gpu	1	50	0.182304
